ad_id,campaign,product,target_start_date,target_end_date
1001,Father's Day,Coffee Maker,15-07-2023,22-10-2023
1002,Super Sale,Smartphone,10-08-2023,23-10-2023
1003,Health & Wellness,External Hard Drive,17-08-2023,30-10-2023
1004,Tech Expo,Laptop,10-08-2023,12-10-2023
1005,Black Friday,Camera,16-07-2023,12-12-2023
1006,Outdoor Adventure,Tablet,01-08-2023,15-10-2023
1007,Winter Clearance,Refrigerator,19-07-2023,23-12-2023
1008,Home Renovation,Router,19-08-2023,19-11-2023
1009,Back-to-School,Washing Machine,26-08-2023,20-10-2023
1010,Mother's Day,Fitness Tracker,15-08-2023,25-11-2023
1011,Backyard BBQ,Air Purifier,24-08-2023,17-10-2023
1012,Fashion Forward,Vacuum Cleaner,06-09-2023,13-12-2023
1013,Holiday Special,Gaming Console,20-08-2023,05-01-2024
1014,Fall Fashion,Blender,02-08-2023,13-10-2023
1015,Easter Deals,Soundbar,05-09-2023,30-12-2023
1016,Summer Sale,Television,01-08-2023,19-10-2023
1017,Cyber Monday,Toaster,30-08-2023,23-12-2023
1018,New Year's Celebration,Printer,15-07-2023,18-11-2023
1019,Spring Savings,Headphones,07-08-2023,29-12-2023
1020,Valentine's Day,Microwave,19-07-2023,23-12-2023
